output_dataset,output_filename_pattern,direct_source_datasets,calculated_column_count,columns_with_gaps,gap_count
balance_sheet,{Version}_BalanceSheet.csv,cash_flow_bridge; deferred_revenue_waterfall; gl_actuals; income_statement; invoices; payments; revenue_schedule; vendor_contracts; working_capital_metrics,10,accounts_payable; accounts_receivable; other_current_assets; prepaid_expenses; retained_earnings; total_assets; total_liabilities,7
cash_flow_bridge,{Version}_CashFlowBridge.csv,bookings_summary; commission_plans; forecast_assumptions; gl_actuals; headcount_plan; income_statement; invoices; opportunity_movements; payments; revenue_schedule; sales_quotas; vendor_contracts; workforce_employees,12,capex; commission_cash_out; interest_cash_out; other_operating_cash_out; payroll_cash_out; tax_cash_out; vendor_cash_out_n30,7
deferred_revenue_waterfall,{Version}_DeferredRevenueWaterfall.csv,Billing_Invoice_Register; gl_actuals; income_statement; invoices; subscriptions,4,revenue_recognized,1
headcount_plan,{Version}_Headcount_Plan.csv,HRIS_Employee_Roster; forecast_quota_capacity; workforce_compensation_bands; workforce_employees,7,headcount_beginning; monthly_payroll_cost; quota_capacity,3
income_statement,{Version}_IncomeStatement.csv,Actual_DeferredRevenueWaterfall; deferred_revenue_waterfall; forecast_revenue_schedule; gl_actuals; revenue_schedule; workforce_department_allocation_rules,12,depreciation_amortization; net_income; operating_income,3
marketing_pipeline,{Version}_MarketingPipeline.csv,CRM_Opportunity_Export; CRM_Pipeline_Export; gl_actuals; opportunities; opportunity_movements,6,cost_per_mql; marketing_spend; mqls; sqls,4
mrr_waterfall,{Version}_MRR_Waterfall.csv,Billing_Subscription_Export; CRM_Opportunity_Export; mrr_waterfall_customer_level; subscriptions,12,renewal_arr,1
